utc_timestamp,DK_1_price_day_ahead
10164,18.32
10165,18.19
10166,18.04
10167,17.94
10168,15.87
10169,19.11
10170,24
10171,22.01
10172,20.67
10173,19.72
10174,19.79
10175,19.54
10176,19.12
10177,17.77
10178,18.03
10179,18.01
10180,17.01
10181,18.49
10182,24.28
10183,34.56
10184,32.96
10185,27.99
10186,24.92
10187,23.48
10188,22.22
10189,21.62
10190,21.09
10191,20.96
10192,20.96
10193,23.12
10194,24.3
10195,22.08
10196,21.21
10197,20.01
10198,19.65
10199,18.83
10200,19.27
10201,19.05
10202,18.97
10203,19.03
10204,19.32
10205,19.77
10206,19.99
10207,23.5
10208,24.85
10209,21.98
10210,21
10211,20.33
10212,19.98
10213,19.86
10214,19.76
10215,19.65
10216,19.65
10217,19.86
10218,19.97
10219,19.78
10220,19.48
10221,19.09
10222,18.39
10223,17.06
10224,10.58
10225,13.56
10226,17
10227,17.04
10228,14.89
10229,15.85
10230,21.45
10231,23.08
10232,23.78
10233,23.82
10234,23.74
10235,23.74
10236,24.61
10237,25.17
10238,25.09
10239,23.75
10240,22.12
10241,26.93
10242,28.83
10243,26.45
10244,23.07
10245,20.59
10246,19.87
10247,19.32
10248,17.47
10249,19.1
10250,18.64
10251,17.98
10252,18.26
10253,19.38
10254,22.39
10255,25.48
10256,30.05
10257,25.96
10258,24.3
10259,23.48
10260,23.87
10261,23.41
10262,23.05
10263,22.59
10264,22.27
10265,24.64
10266,27.96
10267,22.73
10268,21.48
10269,21.05
10270,20.53
10271,19.78
10272,19.91
10273,19.55
10274,19.28
10275,19.19
10276,18.99
10277,20.18
10278,21.44
10279,26.24
10280,32.89
10281,29.32
10282,26.69
10283,23.78
10284,22.48
10285,21.78
10286,21.39
10287,21.36
10288,21.28
10289,21.89
10290,22.06
10291,21.34
10292,21.04
10293,20.67
10294,20.14
10295,19.73
10296,2.95
10297,19.17
10298,19.04
10299,18.96
10300,18.88
10301,19.01
10302,19.12
10303,19.83
10304,20.32
10305,20.88
10306,21.07
10307,20.99
10308,20.78
10309,20.23
10310,19.93
10311,19.91
10312,20.52
10313,20.96
10314,21.36
10315,21.11
10316,20.61
10317,20.41
10318,19.93
10319,19.52
10320,20.03
10321,19.46
10322,19.13
10323,18.69
10324,18.58
10325,18.83
10326,18.65
10327,18.78
10328,19.28
10329,19.99
10330,20.26
10331,20.51
10332,20.02
10333,19.14
10334,18.84
10335,18.83
10336,18.73
10337,20.57
10338,22.83
10339,21.87
10340,21.13
10341,20.94
10342,20.3
10343,19.59
10344,19.93
10345,19.74
10346,19.63
10347,19.51
10348,19.79
10349,21.01
10350,21.49
10351,24.18
10352,25.71
10353,28.65
10354,27.57
10355,25.68
10356,25.18
10357,24.91
10358,24.22
10359,22.9
10360,23.34
10361,26.87
10362,29.98
10363,26.29
10364,23.33
10365,21.78
10366,21.22
10367,20.82
10368,21.01
10369,20.62
10370,20.58
10371,20.66
10372,20.98
10373,21.55
10374,23.64
10375,32.3
10376,37.75
10377,34.14
